CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,HINT,CORRECTANSWER,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,creditBy,status,questionState,questionMasterId
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de film!,Sixteen Candles,St. Elmo's Fire,Footloose,Flashdance,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/KI3HQ1637791572496.mp3,2,,0,0,159183
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke 90s Liv Tyler film komt dit Gin Blossoms nummer?,Reality Bites,Dazed and Confused,Stealing Beauty,Empire Records,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/RZkmg1637791325420.mp3,2,,0,0,159187
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film zingen straatmuzikanten Glen Hansard en Marketa Irglova 'Falling Slowly'?,Once,Begin Again,August Rush,The Edge of Love,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/cyfKl1637791187557.mp3,2,,0,0,159191
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke Meg Ryan film komt dit nummer van de Goo Goo Dolls?,You've Got Mail,City of Angels,Sleepless in Seattle,Kate and Leopold,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/HTdia1637790778959.mp3,2,,0,0,159195
MOVIE MUSIC,none,ADULT,Nederland,35,Wie maakte deze Karate Kid klassieker?,Joe Esposito,Kenny Logins,Huey Lewis,Michael McDonald,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/iUgg91637790170496.mp3,2,,0,0,159203
MOVIE MUSIC,none,ADULT,Nederland,35,Welk transport middel gebruikten E.T. en Elliot in de scene waarin de originele soundtrack - gecomponeerd door John Williams - werd gespeeld?,Hoverboard,BMX,Skateboard,Skeelers,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/Hrk5C1637789608899.mp3,2,,0,0,159207
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de componist van Star Wars!,Hans Zimmer,Alan Silvestri,John Williams,Jerry Goldsmith,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/l2mMa1637789253789.mp3,2,,0,0,159211
MOVIE MUSIC,none,ADULT,Nederland,35,Op wiens begrafenis zingt Will Ferrell 'Dust in the Wind'?,Green's,Yellow's,Red's,Blue's,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/ZYUYg1637788266914.mp3,2,,0,0,159215
MOVIE MUSIC,none,ADULT,Nederland,35,"Welke film, met deze titelsong, won geen Academy Award voor beste film in 2017, ondanks dat Warren Beatty en Faye Dunaway deze film wel als winnaar noemden?",Moonlight,Hidden Figures,La La Land,Manchester by the Sea,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/j3K771637787638503.mp3,2,,0,0,159219
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de film!,Risky Business,The Graduate,All the Right Moves,Midnight Cowboy,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/hs7Hk1637787400949.mp3,2,,0,0,159223
MOVIE MUSIC,none,ADULT,Nederland,35,Welke liefhebbende familie reed van Chicago naar Walley World in 1983?,The Goldbergs,The Kringles,The Griswolds,The McCallisters,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/IPc7b1637786948068.mp3,2,,0,0,159227
MOVIE MUSIC,none,ADULT,Nederland,25,Naar wie zoekt iedereen wanhopig in de film met deze titelsong?,Sandra,Sally,Sara,Susan,"Dit is de tophit van Madonna's 'Get into the Groove' in de film, 'Desperately Seeking Susan'.",D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/ADTmN1637786135094.mp3,2,,0,0,159231
MOVIE MUSIC,none,ADULT,Nederland,35,"In welke film met dit nummer, speelt Madonna de hoofdrol?",Who's That Girl,Borderline,Desperately Seeking Susan,Truth of Dare,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/KDtcS1637785682222.mp3,2,,0,0,159235
MOVIE MUSIC,none,ADULT,Nederland,35,"Wie snijdt in de film 'Goodfellas', knoflook met een scheermes gedurende een scene waarin dit nummer wordt gespeeld?",Jimmy Conway,Paul Cicero,Billy Batts,Henry Hill,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/IepAc1637785423798.mp3,2,,0,0,159239
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de film!,Footloose,Dirty Dancing,Flashdance,Staying Alive,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/b5qx21637785041801.mp3,2,,0,0,159243
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film zit dit 'No Doubt' nummer?,10 Things I Hate About You,Legally Blonde,She's All That,Clueless,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/ZRilv1637784597729.mp3,2,,0,0,159247
MOVIE MUSIC,none,ADULT,Nederland,35,Welke studenten a cappella groep zingt deze medley?,The Barden Bellas,The Tonehangers,Das Sound Machine,The Sockapellas,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/6z1N31637784228846.mp3,2,,0,0,159251
MOVIE MUSIC,none,ADULT,Nederland,35,Wie speelde met Puff Daddy deze 'Godzilla' track in 1998?,Robert Plant,Jimmy Page,Jeff Beck,Eddie Van Halen,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/JlOcA1637783723251.mp3,2,,0,0,159255
MOVIE MUSIC,none,ADULT,Nederland,25,Wie maakte geen onderdeel uit van de film cast met deze Ronan Keating titel song?,Rhys Ifans,Hugh Grant,Andie MacDowell,Julia Roberts,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/CoMd01637783322049.mp3,2,,0,0,159259
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke superhelden film komt dit nummer 'Kiss from a Rose'?,Iron Man,Spider-Man,Superman,Batman,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/xmeXg1637782967038.mp3,22,,0,0,159263
MOVIE MUSIC,none,ADULT,Nederland,35,Wie zingt 'Set It All Free' in de film 'Sing' uit 2016?,Scarlett Johansson,Jennifer Hudson,Reese Witherspoon,Tori Kelly,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/BxFrn1637781912856.mp3,2,,0,0,159267
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke 90s film komt dit lied 'Sixpence None the Richer'?,Never Been Kissed,She's all That,Can't Hardly Wait,She's the Man,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/9uJUX1637781620853.mp3,2,,0,0,159271
MOVIE MUSIC,none,ADULT,Nederland,35,"In welke 90s film, met de film muziek 'Sneaker Pimps', speelt Val Kilmer de dief Simon Templar?",Heat,True Romance,The Saint,Tombstone,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/YpEHl1637781068756.mp3,2,,0,0,159275
MOVIE MUSIC,none,ADULT,Nederland,35,Wie doet het weer in dit op fictie gebaseerde San Diego 'Channel 4 News Team'?,Veronica Corningstone,Ron Burgundy,Champ Kind,Brick Tamland,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/dsYxG1637780709084.mp3,2,,0,0,159279
MOVIE MUSIC,none,ADULT,Nederland,35,Deze Sting titel komt uit Lethal Weapon 3. Wie speelde naast Danny Glover en Mel Gibson in deze 3e versie?,Rene Russo,Gary Busey,Patsy Kensit,Jet Li,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/r6mbK1637780449181.mp3,2,,0,0,159283
MOVIE MUSIC,none,ADULT,Nederland,35,Voor welke tegenstander is Rocky in training in de film de 'Eye of the Tiger'?,Ivan Drago,Clubber Lang,Apollo Creed,Tommy Gun,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/KUkt71637779679697.mp3,2,,0,0,159287
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de animatie film met de titelsong 'Everything is Awesome'!,The Emoji Movie,Trolls,The Lego Movie,Megamind,"""Everything is awesome! Everything is cool when you're part of a team!""",C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/PZ5KX1637779372834.mp3,2,,0,0,159291
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film uit 2005 zingen Steve Carell en Paul Rudd dit lied?,Knocked Up,Dinner for Schmucks,40 Year Old Virgin,Anchorman,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/GAUcS1637778986852.mp3,2,,0,0,159295
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke Martin Scorsese film komt dit lied?,Casino,The Godfather,Goodfellas,The Irishman,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/XEiP91637778571458.mp3,2,,0,0,159299
MOVIE MUSIC,none,ADULT,Nederland,35,"Over welke film en film karakters zong Michael Bolton dit lied, door comedy trio, 'The Lonely Island'?",Harry Potter,Pirates of the Caribbean,Indiana Jones,Lord of the Rings,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/2IqPm1637778032581.mp3,2,,0,0,159303
MOVIE MUSIC,none,ADULT,Nederland,35,Josh Hartnett speelde in deze 1998 horror tiener movie met de titel song 'The Offspring'. Welke was dat?,Disturbing Behavior,I Know What You Did Last Summer,The Faculty,Species,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/tq0m61637777532696.mp3,2,,0,0,159307
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film zingt Adam Sandler dit voor Drew Barrymore?,50 First Dates,Fever Pitch,Blended,The Wedding Singer,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/TBsWK1637777305406.mp3,2,,0,0,159311
MOVIE MUSIC,none,ADULT,Nederland,35,Noem de naam van de fictieve band geleid door Tom Hanks!,The Wonders,That Thing You Do,The O-Needers,The Wonderers,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/C3WUX1637776872894.mp3,2,,0,0,159315
MOVIE MUSIC,none,ADULT,Nederland,35,"Uit welke Batman film uit 1995 komt deze U2 titelsong 'Hold Me, Thrill Me, Kiss Me, Kill Me'?",Batman Begins,Batman Forever,The Dark Knight,Batman Returns,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/3R86z1637776448725.mp3,2,,0,0,159319
MOVIE MUSIC,none,ADULT,Nederland,35,Wie speelde niet in de cult film met deze klassieker 'Underworld'?,Ewan McGregor,Robert Carlyle,Rhys Ifans,Ewen Bremner,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/mxUll1637775989457.mp3,2,,0,0,159323
MOVIE MUSIC,none,ADULT,Nederland,35,"Welke band speelt in de comedies, 'Old School' en 'The Hangover', waarin covers worden gespeeld van originele vrouwelijke pop songs?",The Axis of Awesome,The Lonely Island,"""Weird Al"" Yankovic",The Dan Band,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/BxGoN1637775749668.mp3,2,,0,0,159327
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke animatie film komt deze feel-good hit?,Zootopia,The Secret Life of Pets,Sing,Ferdinand,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/Uj9wl1637775194668.mp3,2,,0,0,159331
MOVIE MUSIC,none,ADULT,Nederland,35,Wie schreef en produceerde deze 'Flashdance' klassieker?,Irene Cara,Michael Sembello,Laura Branigan,Joe Esposito,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/zdqFp1637799837516.mp3,2,,0,0,159539
MOVIE MUSIC,none,ADULT,Nederland,35,"Wie speelt de hoofdpersoon, Violet Sanford, in de film met deze titelsong?",LeAnn Rimes,Maria Bello,Piper Perabo,Bridget Moynahan,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/myGw91637800292449.mp3,2,,0,0,159543
MOVIE MUSIC,none,ADULT,Nederland,35,In welke Jordan Peele film wordt een cover gespeeld van deze Luniz track?,Candyman (2021),Keanu,Get Out,Us,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/M4drS1637800561848.mp3,2,,0,0,159547
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke 2009 romcom met een all-star cast komt deze 'Keane' song?,He's Just Not That Into You,The Proposal,"Crazy, Stupid, Love",Knocked Up,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/rl2751637853632113.mp3,2,,0,0,159553
MOVIE MUSIC,none,ADULT,Nederland,35,Welke Amerikaanse actrice en zangeres zong dit 'Frozen' lied?,Elsa Anne Martin,Idina Menzel,Kristen Bell,Evan Rachel Wood,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/5Y4RE1637854231392.mp3,2,,0,0,159565
MOVIE MUSIC,none,ADULT,Nederland,35,In welke film speelde deze getalenteerde rapper en acteur geen rol?,He Got Game,Above The Rim,Poetic Justice,Juice,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/IpM901637943871324.mp3,2,,0,0,159653
MOVIE MUSIC,none,ADULT,Nederland,25,"In welke door Matthew Vaughn geregisseerde film, pleegt 'Morty' gespeeld door George Harris, geweld tijdens dit Duran Duran nummer?","Lock, Stock and Two Smoking Barrels",Snatch,Rocknrolla,Layer Cake,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/6dFlR1637945659127.mp3,2,,0,0,159657
MOVIE MUSIC,none,ADULT,Nederland,25,Wie speelde geen rol in de James Bond film uit 2021 met deze titelsong?,Monica Bellucci,Ralph Fiennes,Rami Malek,Lea Seydoux,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/PfAYj1637961009089.mp3,2,,0,0,159667
MOVIE MUSIC,none,ADULT,Nederland,25,In welke serie van horror films was Blue Oyster Cult's - '(Don't Fear) The Reaper' de titel song?,Scream,Halloween,Evil Dead,Candyman,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/XXwtO1637961711573.mp3,2,,0,0,159673
MOVIE MUSIC,none,ADULT,Nederland,25,Uit welke animatie film komt deze cover versie van een Tom Cochrane lied uit 1991?,Robots,Turbo,Cars,WALL·E,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/pkW781637962088266.mp3,2,,0,0,159675
MOVIE MUSIC,none,ADULT,Nederland,25,Wie speelde niet in de all-star cast van de film met deze titel song van Cher?,Winona Ryder,Christina Ricci,Cher,Michelle Pfeiffer,"Iedereen behalve Michelle Pfeiffer speelde in deze film uit 1990, Mermaids!",D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/C3He51637962506259.mp3,2,,0,0,159685
MOVIE MUSIC,none,ADULT,Nederland,35,Wie zingt deze titel song in de musical uit 2002?,Renée Zellweger,Catherine Zeta-Jones,Meryl Streep,Christine Baranski,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/98du31637963199744.mp3,2,,0,0,159693
MOVIE MUSIC,none,ADULT,Nederland,35,"Wie regiseerde de cult horror movie uit 2017, waarin Daniel Kaluuya de hoofdrol speelde met deze Childish Gambino titel song?",Sam Raimi,Spike Lee,Jordan Peele,Victoria Mahoney,"De film heet natuurlijk 'Get Out', geregisseerd door Jordan Peele!",C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/n5PMy1637963810613.mp3,2,,0,0,159701
MOVIE MUSIC,none,ADULT,Nederland,35,Wat is de volgende zin van dit Patrick Swayze lied?,"""I look in the mirror and all I see""","""Is a young old man with only a dream""","""I feel her breath in my face""","""She leads me through moonlight""",,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/kIS0i1637964537895.mp3,2,,0,0,159705
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke film uit 'The Hobbit' serie komt dit nummer?,The Desolation of Smaug,An Unexpected Journey,The Battle of the Five Armies,Return Of The King,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/wiFH01637965237649.mp3,2,,0,0,159709
MOVIE MUSIC,none,ADULT,Nederland,35,"Voor welke britse romcom met Hugh Grant, nam Gabrielle dit lied op?",Notting Hill,Bridget Jones's Diary,Love Actually,About a Boy,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/HYJzy1637965867924.mp3,2,,0,0,159717
MOVIE MUSIC,none,ADULT,Nederland,35,Wie was de 'Beauty School Drop Out'?,Rizzo,Marty,Frenchy,Sandy,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/eeQTG1637966698456.mp3,2,,0,0,159729
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke comedy komt deze Joe Jackson muziek?,"Me, Myself & Irene",Along Came Polly,Dumb & Dumber,Something About Mary,,D,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/knVXS1638023375533.mp3,2,,0,0,159733
MOVIE MUSIC,none,ADULT,Nederland,35,Op welke locatie wordt in de Kingsman scene deze 'Lynyrd Skynyrd' muziek gespeeld?,Kerk,School,Ziekenhuis,Supermarkt,,A,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/qGvJL1638024170542.mp3,2,,0,0,159741
MOVIE MUSIC,none,ADULT,Nederland,35,Uit welke cult film komt de Gary Jules cover van dit 'Tears for Fears' nummer?,Mulholland Dr.,Donnie Darko,Requiem for a Dream,Memento,,B,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/kE1dN1638024486044.mp3,2,,0,0,159745
MOVIE MUSIC,none,ADULT,Nederland,35,Voor de soundtrack van welke film uit 2008 werd deze Paramore song geschreven?,The Dark Knight,Quantum of Solace,Twilight,The Incredible Hulk,,C,,,https://outsmarted.s3.eu-west-2.amazonaws.com/storage/questions/sounds/13j3U1638024975763.mp3,2,,0,0,159753
