CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What apology song is owned by the singers wife, Ali, with all royalties going to charity?",Beth - KISS,The Sweetest Thing - U2,Never Gonna Give You Up - Rick Astley,Just The Way You Are - Billy Joel,B,,16-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Definitely more cruel than kind, what singer said of music critics, Writing about music is like dancing about architecture?",Elvis Costello,Nick Lowe,Phil Collins,Joe Jackson,B,,17-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What song about an ill-fated breakup is rumoured to feature Iggy Pop on drums and Billy Joel on piano?,Mama Said - The Shirelles,Be My Baby - The Ronettes,My Boyfriend's Back - The Angels,Leader of the Pack - The Shangri-Las,D,,18-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was the opening act for Iggy Pop and the Stooges first public performance?,A running blender filled with water,A talent show for pets,A magician,David Bowie in a disguise,A,,19-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How neat! What was the first British punk band to play CBGBs?,Wire,The Buzzcocks,Ian Dury and the Blockheads,The Damned,D,,20-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What fire-y lookalike singer took Jim Morrisons place in The Doors for their 2002 reunion shows?,Arthur Brown,Ian Astbury  The Cult,Gary Barlow - Take That,Steven Tyler - Aerosmith,B,,21-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What New Jersey singer operates (and works in) pay-what-you-can restaurants in his home state?,Jon Bon Jovi,Bruce Springsteen,Frankie Valli,Bob Geldof,A,,22-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Nothing sweet about it  What one-hit wonder band did Adam Ants backing musicians leave him to join?,Spandau Ballet,A-ha,Bow Wow Wow,The Knack,C,,23-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What did Lynyrd Skynyrds Ronnie Van Zandt, Linda Ronstadt, and Sandie Shaws live performances have in common?",They got stage fright,They used teleprompters,Theyd lip sync,They sang barefoot,D,,24-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How does George Michael introduce Elton John in their live duet of Dont Let The Sun Go Down On Me?,"And now, Elton John",Heres Eltie,"Ladies and gentlemen, Mr. Elton John",Hello old friend,C,,25-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was Rod Stewarts first solo #1 single?,Maggie May,Gasoline Alley,Hot Legs,Sailing,A,,26-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,Which one of these questions was asked by an artist in the '70s?,Do Ya Think Im Sexy?,Do You Really Want to Hurt Me?,How Will I Know?,What's Love Got to Do with It?,A,,27-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who refused to charge a premium price for their 1979 double album, or for their triple album released a year later?",Bruce Springsteen,The Clash,Rush,Madonna,B,,28-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"If you made a playlist of every Ramones song ever recorded over 14 studio albums, roughly how long would it be?",10 hours,24 hours,5 days,2 weeks,A,,29-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What official reason did the Sex Pistols give for firing songwriter and bassist Glen Matlock?,Sid Vicious was a better player,He disappeared,He liked The Beatles,He was too polite,C,,30-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What instrument opens The Jams A Town Called Malice?,Bass,Organ,Drums,Saxophone,A,,31-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What goth pioneer was known to British music fans as a fashionable Sex Pistols fan before starting her band?,Alison Moyet,Sinead O'Connor,Siouxsie Sioux,Cyndi Lauper,C,,32-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Poly Styrene fronted UK punk pioneers X-Ray Spex - what musical item is polystyrene used to make?,Records,Guitar Strings,CD Cases,Pyrotechnics,C,,33-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is the answer to the Q: Are we not men? posed by this New Wave bands debut album?,Shadowy Men on a Shadowy Planet,Or Are We Dancer?,A: We are Devo!,"No, We Are Kraftwerk",C,,34-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What do albums by Paul Simon, James Taylor, and Bootsy Collins have in common?",They play all the instruments,Titles with their own first names in them,World's most bootlegged albums,Albums called Graceland,B,,35-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What forgetful yacht rocker may have been a fool for believing he should leave Steely Dan to join The Doobie Brothers?,Christopher Cross,Kenny Loggins,Michael McDonald,Peter Cetera,C,,36-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,"What song ascended to the top of the iTunes chart 35 years after its initial release, thanks to the 4th season of Stranger Things?",Mad World - Tears for Fears,Running Up That Hill - Kate Bush,Dreams - Fleetwood Mac,Drive - The Cars,B,,37-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Name the singer whose band made 2 of the 70s' top-selling albums, and had the decades 9th biggest single as a solo act (while their bandmate failed to chart)?",,Brian Wilson,Art Garfunkel,Freddie Mercury,C,,38-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which 1973 album spent 15 consecutive years on the US charts after it came out and still sells nearly 10k copies a week?,Legend - Bob Marley and the Wailers,Rumours - Fleetwood Mac,The Dark Side of the Moon - Pink Floyd,Goodbye Yellow Brick Road - Elton John,C,,39-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Year after year, where can you find the two lost souls of Pink Floyds Wish You Were Here?",A cage,A green knoll,A stage,A fish bowl,D,,40-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,What vocal affectation is used on Bachman Turner Overdrives You Aint Seen Nothing Yet?,Falsetto,Rolled Rs,Growl,Stutter,D,,41-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,What Australian band is known for having a guitarist in school uniform shorts?,The Bee Gees,AC/DC,Pink Floyd,INXS,B,,42-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Whose lead singer did Free's Paul Rodgers replace from 2004-2009, before a competition show winner took the reins?
",Queen,Thin Lizzy,INXS,Pearl Jam,A,,43-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What is not part of a KISS makeup look?,Single star,Single lightning bolt,A cat face,Black lipstick,B,,44-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What practice inspired John Lennons 1970 solo debut, John Lennon/Plastic Ono Band?
",Hare Krishna Chanting,Primal Scream Therapy,Transcendental Meditation,Long-Distance Running,B,,45-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What band was formed by musicians hired to back Linda Ronstadt? Shed cover their Desperado a few years later.,The Allman Brothers Band,"Crosby, Stills, Nash & Young",Jefferson Airplane,The Eagles,D,,46-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,"Where do you hear the lyrics, We are all just prisoners here, of our own device?""",Touch of Grey - The Grateful Dead,Born To Be Wild - Steppenwolf,Hotel California - The Eagles,Give Up The Funk - Parliament,C,,47-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Cherry Bomb band gave Joan Jett her start?,The Go-Gos,The Bangles,The Runaways,Blondie,C,,48-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,4,30,"What was the UKs best-selling single of the '70s, the first song to eclipse a record held by the same artist (sort of)?",Rivers of Babylon - Boney M.,Mull of Kintyre - Wings,Bridge Over Troubled Water - Simon & Garfunkel,Ain't No Mountain High Enough - Diana Ross,B,,49-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,4,30,4 of the 5 best-selling singles of the 60s in the UK were Beatles songs - what other surprisingly emotional artist made the list?,Elvis Presley,Engelbert Humperdink,Ken Dodd,Tom Jones,C,,50-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What two bands did Denny Laine help found?,The Moody Blues/Wings,Megadeth/Metallica,Slade/Mungo Jerry,Journey/Santana,A,,51-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was the best-selling soundtrack album ever before Whitney Houston's The Bodyguard came out?,Dirty Dancing,Grease,Saturday Night Fever,Purple Rain,C,,52-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What band was Telma Louise Hopkins in, before Steve Urkel would knock three times on her front door in Family Matters?",Sister Sledge,Tony Orlando and Dawn,Hot Chocolate,KC and the Sunshine Band,B,,53-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who was originally asked to lead Led Zeppelin?,Donovan Leitch,Petula Clark,Terry Reid,Kate Bush,C,,54-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,4,30,"Of the 10 top-selling albums of the '60s in the UK, 9 were by The Beatles. What were the other three?",Greatest Hits albums,Cliff Richard albums,Beatles tributes,Soundtracks,D,,55-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Why did The Police go platinum blonde?,For a Wrigley's Gum ad,All prematurely grey,To copy Blondie,Music video hairdresser's mistake,A,,56-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What genre was created by bands like The Specials, The Beat, and Madness?",Two-Tone,Dubstep,Reggaeton,3rd Wave Ska,A,,57-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What foodstuff inspired a 1963 instrumental by Booker T. & The M.G.s,Popcorn,Bread and Butter,Green Onions,Peppermints,C,,58-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What word shows up in the title of both of The Chiffons biggest hits? Hint: It's also found in their name.,Sweet,Fine,Choose,Said,B,,59-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What record company, run by Ahmet Erdegun, rivalled Motown on the R&B charts in the 60s?",Decca,Apple,Atlantic,Columbia,C,,60-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,How did Carole King and Gerry Goffin meet Little Eva before asking her to record The Locomotion?,She was their babysitter,She was Carol sister,She was Gerry's ex-wife,She was the Brill Building piano tuner,A,,61-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What's the first Pips-provided background line sung on Gladys Knight Midnight Train to Georgia?,A superstar but he didn't get far,Going back to find,Too much for the man,His and hers alone,C,,62-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Complete the album title: Dusty in _____________,Detroit,Memphis,London,Nashville,B,,63-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What song did Smokey Robinson write as a response to My Guy?,Ain't No Woman Like The One I've Got,Band of Gold,I Will Survive,My Girl,D,,64-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who is Dionne Warwick's first cousin?,Burt Bacharach,Aretha Franklin,Whitney Houston,Sheila E.,C,,65-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What did Patti Smith guitarist Lenny Kaye call his influential 60s psychedelia anthology series?,Elephant 6,Nuggets,Amungus,Mekons,B,,66-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which artist who wrote a song about Woodstock turned down an offer to play the festival?,Joni Mitchell,Jim Morrison,Frank Zappa,Joan Baez,A,,67-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Of the top 5 most repetitive songs to ever make the Billboard Hot 100, what's the only one that isn't a modern dance track?",Come On Eileen - Dexy's Midnight Runners,Chain of Fools - Aretha Franklin,I'm Gonna Be - The Proclaimers,Nobody But Me - The Human Beinz,B,,68-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who wrote in his autobiography that his secret to success was, Hair and teeth. A man got those two things, he's got it all?",Barry Gibb,James Brown,Axl Rose,Elvis Presley,B,,69-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Sweet Soul Music songwriter did the Rolling Stones respectfully try to imitate with satisfaction?,Otis Redding,Johnny Cash,Barry White,Little Richard,A,,70-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Fill in the Sly & The Family Stone blank: Thank You (Fallentinme Be _______ Again),My Zelf,Mice Elf,My Cellph,Flesym,B,,71-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Dick Dale surf Rock instrumental became a hit for the second time when it was used as the theme for Pulp Fiction?,Wipeout,Miserlou,Surfin' Bird,Tequila,B,,72-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who wrote Rod Stewarts Reason to Believe and If I Were a Carpenter, covered by Bobby Darin and The Four Tops?",Tim Hardin,Richie Havens,Harry Nilsson,Bob Dylan,A,,73-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Fronted by Fred Sonic Smith, who kicked out a series of jams that laid the foundations for 70s punk?",The Stooges,The Monks,Bad Brains,MC5,D,,74-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Steve Miller is a lot of things, including a Joker. What trait is not mentioned in the song?",Picker,Lover,Singer,Sinner,C,,75-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What band only recorded All the Young Dudes because they rejected David Bowie's first offer of suffragette City?,Mott The Hoople,T.Rex,Showaddywaddy,Sweet,A,,76-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"The singer denies it, but who does Black Sabbath guitarist Tony Iommi insist auditioned to replace Ozzy?",Rod Stewart,Michael Bolton,Meatloaf,Michael Jackson,B,,77-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who had Glen Campbell take his place in his family band when he quit touring for his mental health in 1964?,Ray Davies,Brian Wilson,Lemmy,David Cassidy,B,,78-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What instrument gives songs like Good Vibrations their otherworldly, magnetic warble?",Harmonium,Zither,Otomatone,Theremin,D,,79-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Which singer changed his first name from Jim on the advice of a guru, who warned him off his first choices: Rocket, Retro, and Ramjet?",Roger McGuinn,J. Giels,Ringo Starr,Shakin' Stevens,A,,80-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What band provided the soundtrack for some long strange trips at author Ken Kesey's notorious Haight-Ashbury house parties?,Kool and the Gang,The Grateful Dead,The Talking Heads,Captain Beefheart,B,,81-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What was unique about Velvet Underground drummer Moe Tuckers playing style?,She played standing up,She didn't use drumsticks,She didn't use cymbals,She played from the audience,A,,82-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,What Goin Up the Country band featured vocalists known as Bear and Blind Owl?,Canned Heat,Big Country,Midnight Oil,Genesis,A,,83-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,"ADULT,TEEN","2,3,4,1,21",30,What does ELO stand for?,Electric Life Organization,Endless Love Octet,Electric Light Originals,Electric Light Orchestra,D,,84-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Before adding Rod Stewart to the line up, what were The Faces called?",The Jeff Beck Group,The Lazy Sundays,The Ogdens,The Small Faces,D,,85-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which song is an example of the Merseybeat sound - and the genres first song to reach the US charts?,Hippy Hippy Shake - The Swinging Blue Jeans,Yeh Yeh - Georgie Fame,"Gimme, Gimme, Gimme - ABBA",Orinocco Flow - Enya,A,,86-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"What name proved to be a hit for Them in the 60s, Patti Smith in the 70s, and Laura Branigan and U2 in the 80s?",Melissa,Windy,Caroline,Gloria,D,,87-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Who never played guitar with The Yardbirds?,Eric Clapton,Peter Frampton,Jeff Beck,Jimmy Page,B,,88-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Which artist goes by their real first name?,Prince,Joe Strummer,Cat Stevens,Elton John,A,,89-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Associated with The Band and Bob Dylan, what was Big Pink?",A record company,A house,A car,A guitar,B,,90-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,"Who was told to Come & Get It by Apple Records, who saw them as a Beatles successor?",The Who,Badfinger,Thin Lizzy,The Zombies,B,,91-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
SOUND AND MUSIC,NONE,ADULT,"2,3,4,1,21",30,Whats repeated six times in the title of a Wayne Fontana & The Mindbenders song about a man on a bench?,Um,Mmm,Yummy,Da,A,,92-CORE-Pack-Sound-And-Music-Ashley.jpg,,,1,,0,Ashley,1,1
